time,bandwidth_mbps
2025-10-09 07:21:50+00:00,0.001904
2025-10-09 07:21:51+00:00,0.004432
2025-10-09 07:21:52+00:00,0.006064
2025-10-09 07:21:53+00:00,0.006864
2025-10-09 07:21:54+00:00,0.005952
2025-10-09 07:21:55+00:00,0.006016
2025-10-09 07:21:56+00:00,0.006208
2025-10-09 07:21:57+00:00,0.008128
2025-10-09 07:21:58+00:00,0.007648
2025-10-09 07:21:59+00:00,0.007344
2025-10-09 07:22:00+00:00,0.006384
2025-10-09 07:22:01+00:00,0.0072
2025-10-09 07:22:02+00:00,0.004784
2025-10-09 07:22:03+00:00,0.007776
2025-10-09 07:22:04+00:00,0.00624
2025-10-09 07:22:05+00:00,0.00568
2025-10-09 07:22:06+00:00,0.006752
2025-10-09 07:22:07+00:00,0.007536
2025-10-09 07:22:08+00:00,0.005296
2025-10-09 07:22:09+00:00,0.008816
2025-10-09 07:22:10+00:00,0.006304
2025-10-09 07:22:11+00:00,0.005376
2025-10-09 07:22:12+00:00,0.007248
2025-10-09 07:22:13+00:00,0.007088
2025-10-09 07:22:14+00:00,0.006832
2025-10-09 07:22:15+00:00,0.006928
2025-10-09 07:22:16+00:00,0.005616
2025-10-09 07:22:17+00:00,0.005216
2025-10-09 07:22:18+00:00,0.007936
2025-10-09 07:22:19+00:00,0.007104
2025-10-09 07:22:20+00:00,0.006144
2025-10-09 07:22:21+00:00,0.005936
2025-10-09 07:22:22+00:00,0.0068
2025-10-09 07:22:23+00:00,0.005936
2025-10-09 07:22:24+00:00,0.007152
2025-10-09 07:22:25+00:00,0.00784
2025-10-09 07:22:26+00:00,0.008736
2025-10-09 07:22:27+00:00,0.006032
2025-10-09 07:22:28+00:00,0.007248
2025-10-09 07:22:29+00:00,0.00576
2025-10-09 07:22:30+00:00,0.00832
2025-10-09 07:22:31+00:00,0.005744
2025-10-09 07:22:32+00:00,0.00784
2025-10-09 07:22:33+00:00,0.006672
2025-10-09 07:22:34+00:00,0.005264
2025-10-09 07:22:35+00:00,0.005648
2025-10-09 07:22:36+00:00,0.006736
2025-10-09 07:22:37+00:00,0.007104
2025-10-09 07:22:38+00:00,0.005856
2025-10-09 07:22:39+00:00,0.0068
2025-10-09 07:22:40+00:00,0.007712
2025-10-09 07:22:41+00:00,0.006488
2025-10-09 07:22:42+00:00,0.0066
2025-10-09 07:22:43+00:00,0.008064
2025-10-09 07:22:44+00:00,0.0064
2025-10-09 07:22:45+00:00,0.005808
2025-10-09 07:22:46+00:00,0.007408
2025-10-09 07:22:47+00:00,0.006832
2025-10-09 07:22:48+00:00,0.007104
2025-10-09 07:22:49+00:00,0.005216
2025-10-09 07:22:50+00:00,0.006384
2025-10-09 07:22:51+00:00,0.007056
2025-10-09 07:22:52+00:00,0.00688
2025-10-09 07:22:53+00:00,0.006464
2025-10-09 07:22:54+00:00,0.006784
2025-10-09 07:22:55+00:00,0.00736
2025-10-09 07:22:56+00:00,0.007312
2025-10-09 07:22:57+00:00,0.006104
2025-10-09 07:22:58+00:00,0.005752
2025-10-09 07:22:59+00:00,0.005888
2025-10-09 07:23:00+00:00,0.00592
2025-10-09 07:23:01+00:00,0.006624
2025-10-09 07:23:02+00:00,0.005824
2025-10-09 07:23:03+00:00,0.008144
2025-10-09 07:23:04+00:00,0.005952
2025-10-09 07:23:05+00:00,0.006624
2025-10-09 07:23:06+00:00,0.006576
2025-10-09 07:23:07+00:00,0.007216
2025-10-09 07:23:08+00:00,0.006864
2025-10-09 07:23:09+00:00,0.006784
2025-10-09 07:23:10+00:00,0.006176
2025-10-09 07:23:11+00:00,0.004784
2025-10-09 07:23:12+00:00,0.00728
2025-10-09 07:23:13+00:00,0.0058
2025-10-09 07:23:14+00:00,0.00644
2025-10-09 07:23:15+00:00,0.007568
2025-10-09 07:23:16+00:00,0.008432
2025-10-09 07:23:17+00:00,0.00464
2025-10-09 07:23:18+00:00,0.0068
2025-10-09 07:23:19+00:00,0.007936
2025-10-09 07:23:20+00:00,0.008064
2025-10-09 07:23:21+00:00,0.006816
2025-10-09 07:23:22+00:00,0.00592
2025-10-09 07:23:23+00:00,0.004976
2025-10-09 07:23:24+00:00,0.007056
2025-10-09 07:23:25+00:00,0.008656
2025-10-09 07:23:26+00:00,0.007904
2025-10-09 07:23:27+00:00,0.005008
2025-10-09 07:23:28+00:00,0.00536
2025-10-09 07:23:29+00:00,0.006192
2025-10-09 07:23:30+00:00,0.006832
