time,bandwidth_mbps
2025-10-09 07:21:50+00:00,0.008704
2025-10-09 07:21:51+00:00,0.01064
2025-10-09 07:21:52+00:00,0.009072
2025-10-09 07:21:53+00:00,0.01192
2025-10-09 07:21:54+00:00,0.011088
2025-10-09 07:21:55+00:00,0.01008
2025-10-09 07:21:56+00:00,0.011808
2025-10-09 07:21:57+00:00,0.012384
2025-10-09 07:21:58+00:00,0.011392
2025-10-09 07:21:59+00:00,0.011728
2025-10-09 07:22:00+00:00,0.009584
2025-10-09 07:22:01+00:00,0.01112
2025-10-09 07:22:02+00:00,0.012016
2025-10-09 07:22:03+00:00,0.011488
2025-10-09 07:22:04+00:00,0.009392
2025-10-09 07:22:05+00:00,0.009632
2025-10-09 07:22:06+00:00,0.01232
2025-10-09 07:22:07+00:00,0.00888
2025-10-09 07:22:08+00:00,0.013664
2025-10-09 07:22:09+00:00,0.0088
2025-10-09 07:22:10+00:00,0.011792
2025-10-09 07:22:11+00:00,0.011472
2025-10-09 07:22:12+00:00,0.011632
2025-10-09 07:22:13+00:00,0.010776
2025-10-09 07:22:14+00:00,0.012536
2025-10-09 07:22:15+00:00,0.010672
2025-10-09 07:22:16+00:00,0.008912
2025-10-09 07:22:17+00:00,0.010864
2025-10-09 07:22:18+00:00,0.010832
2025-10-09 07:22:19+00:00,0.011648
2025-10-09 07:22:20+00:00,0.00992
2025-10-09 07:22:21+00:00,0.01168
2025-10-09 07:22:22+00:00,0.009056
2025-10-09 07:22:23+00:00,0.009712
2025-10-09 07:22:24+00:00,0.012592
2025-10-09 07:22:25+00:00,0.012656
2025-10-09 07:22:26+00:00,0.012992
2025-10-09 07:22:27+00:00,0.009472
2025-10-09 07:22:28+00:00,0.01192
2025-10-09 07:22:29+00:00,0.012784
2025-10-09 07:22:30+00:00,0.009824
2025-10-09 07:22:31+00:00,0.0096
2025-10-09 07:22:32+00:00,0.014304
2025-10-09 07:22:33+00:00,0.008896
2025-10-09 07:22:34+00:00,0.008768
2025-10-09 07:22:35+00:00,0.010672
2025-10-09 07:22:36+00:00,0.010048
2025-10-09 07:22:37+00:00,0.012384
2025-10-09 07:22:38+00:00,0.009952
2025-10-09 07:22:39+00:00,0.012416
2025-10-09 07:22:40+00:00,0.010984
2025-10-09 07:22:41+00:00,0.010792
2025-10-09 07:22:42+00:00,0.011776
2025-10-09 07:22:43+00:00,0.010568
2025-10-09 07:22:44+00:00,0.0114
2025-10-09 07:22:45+00:00,0.011424
2025-10-09 07:22:46+00:00,0.010832
2025-10-09 07:22:47+00:00,0.011176
2025-10-09 07:22:48+00:00,0.010184
2025-10-09 07:22:49+00:00,0.009824
2025-10-09 07:22:50+00:00,0.012032
2025-10-09 07:22:51+00:00,0.009136
2025-10-09 07:22:52+00:00,0.012192
2025-10-09 07:22:53+00:00,0.011744
2025-10-09 07:22:54+00:00,0.009968
2025-10-09 07:22:55+00:00,0.012656
2025-10-09 07:22:56+00:00,0.009504
2025-10-09 07:22:57+00:00,0.011152
2025-10-09 07:22:58+00:00,0.010144
2025-10-09 07:22:59+00:00,0.007872
2025-10-09 07:23:00+00:00,0.012336
2025-10-09 07:23:01+00:00,0.009712
2025-10-09 07:23:02+00:00,0.012512
2025-10-09 07:23:03+00:00,0.009712
2025-10-09 07:23:04+00:00,0.01184
2025-10-09 07:23:05+00:00,0.00888
2025-10-09 07:23:06+00:00,0.012496
2025-10-09 07:23:07+00:00,0.012096
2025-10-09 07:23:08+00:00,0.008224
2025-10-09 07:23:09+00:00,0.01296
2025-10-09 07:23:10+00:00,0.008432
2025-10-09 07:23:11+00:00,0.011712
2025-10-09 07:23:12+00:00,0.009552
2025-10-09 07:23:13+00:00,0.00956
2025-10-09 07:23:14+00:00,0.014008
2025-10-09 07:23:15+00:00,0.011392
2025-10-09 07:23:16+00:00,0.01096
2025-10-09 07:23:17+00:00,0.009104
2025-10-09 07:23:18+00:00,0.013584
2025-10-09 07:23:19+00:00,0.013312
2025-10-09 07:23:20+00:00,0.009488
2025-10-09 07:23:21+00:00,0.011072
2025-10-09 07:23:22+00:00,0.009312
2025-10-09 07:23:23+00:00,0.011456
2025-10-09 07:23:24+00:00,0.011456
2025-10-09 07:23:25+00:00,0.013008
2025-10-09 07:23:26+00:00,0.011152
2025-10-09 07:23:27+00:00,0.008896
2025-10-09 07:23:28+00:00,0.0096
2025-10-09 07:23:29+00:00,0.010664
2025-10-09 07:23:30+00:00,0.003416
