Oct  9, 2025 15:21:50.248388000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	177
Oct  9, 2025 15:21:50.263056000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	177
Oct  9, 2025 15:21:50.467254000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	118
Oct  9, 2025 15:21:50.485188000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	118
Oct  9, 2025 15:21:50.701192000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	125
Oct  9, 2025 15:21:50.719868000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	125
Oct  9, 2025 15:21:50.893268000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	124
Oct  9, 2025 15:21:50.914981000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	124
Oct  9, 2025 15:21:51.111363000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	142
Oct  9, 2025 15:21:51.131450000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	142
Oct  9, 2025 15:21:51.316737000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	128
Oct  9, 2025 15:21:51.338981000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	128
Oct  9, 2025 15:21:51.574952000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	122
Oct  9, 2025 15:21:51.599448000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	122
Oct  9, 2025 15:21:51.789207000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	144
Oct  9, 2025 15:21:51.808542000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	144
Oct  9, 2025 15:21:51.931625000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	129
Oct  9, 2025 15:21:51.955355000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	129
Oct  9, 2025 15:21:52.152882000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	146
Oct  9, 2025 15:21:52.178304000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	146
Oct  9, 2025 15:21:52.373303000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	134
Oct  9, 2025 15:21:52.390832000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	134
Oct  9, 2025 15:21:52.568878000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	127
Oct  9, 2025 15:21:52.589283000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	127
Oct  9, 2025 15:21:52.808576000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	160
Oct  9, 2025 15:21:52.834096000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	160
Oct  9, 2025 15:21:53.047196000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	170
Oct  9, 2025 15:21:53.065277000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	170
Oct  9, 2025 15:21:53.160755000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	128
Oct  9, 2025 15:21:53.189025000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	128
Oct  9, 2025 15:21:53.362680000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	147
Oct  9, 2025 15:21:53.378239000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	147
Oct  9, 2025 15:21:53.600002000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	146
Oct  9, 2025 15:21:53.633560000 +08	192.168.0.132,8.8.8.8	192.168.0.115,10.45.0.27	0x00000001	146
Oct  9, 2025 15:21:53.756102000 +08	192.168.0.115,10.45.0.27	192.168.0.132,8.8.8.8	0x00004af3	154
